name,phone,address,gender,student_id,email
William Baird,(663)808-9253x65560,"555 Cervantes Shoal, Port Jose, MP 19760",male,wb532,wb532@upc.edu
Karen Rodriguez,566-280-7672,"PSC 4802, Box 5954, APO AA 31847",female,kr772,kr772@upc.edu
Elizabeth Washington,+1-746-959-9981x91449,"PSC 2050, Box 2874, APO AA 12284",female,ew131,ew131@upc.edu
Renee Robinson,751-566-7366x452,"66391 William Trafficway Apt. 684, Rogerchester, UT 31799",female,rr890,rr890@upc.edu
Christy Lewis,+1-646-635-7233x158,"36255 Sue Isle, Montgomeryshire, NE 53639",female,cl769,cl769@upc.edu
Kyle Turner,921-541-6147,"4197 Rebecca Summit, West Amandaview, IA 86652",male,kt692,kt692@upc.edu
Marcus Nielsen,302.815.6349x011,"32587 Elizabeth Streets Suite 532, Josephhaven, NJ 10935",male,mn286,mn286@upc.edu
Shawn Graham,(976)327-6991,"261 Lindsey Shoals, East Anitaport, FL 57054",male,sg190,sg190@upc.edu
Terry Burgess,273-254-4054x84044,"8816 Houston Ports, Phillipsbury, OH 81927",male,tb842,tb842@upc.edu
Evelyn Franklin,3925421031,"USNV Brown, FPO AA 48622",female,ef273,ef273@upc.edu
Katelyn Webb,3713957885,"2835 Morgan Coves Suite 549, North Michaelville, KY 47859",female,kw892,kw892@upc.edu
Misty Stein,(509)293-5902,"7964 Thomas Unions Suite 819, Lake Aimeeshire, CA 62547",female,ms676,ms676@upc.edu
Linda Thomas,(745)713-3308x797,"94110 Shawn Ports, Cynthiaport, WI 68034",female,lt243,lt243@upc.edu
Sergio Norton,6089004098,"9293 Joshua Heights Apt. 322, West Rebeccastad, ME 70306",male,sn374,sn374@upc.edu
Natalie Garner,376.781.0623x77158,"7470 Rebecca Street, Fergusonburgh, NE 52718",female,ng480,ng480@upc.edu
Matthew Reeves,001-440-299-0856x390,"97331 Fox Valleys Apt. 460, Blakeburgh, WA 73995",male,mr479,mr479@upc.edu
Jeanne Richards,(280)620-1428,"298 Wells Road Apt. 447, Andrewfurt, SD 85928",female,jr401,jr401@upc.edu
Susan Richardson,811-693-9611,"717 Riley Knolls Suite 424, Kristenton, CO 87084",female,sr642,sr642@upc.edu
Joshua Foster,001-499-774-4206x7143,"800 Sherman Cliffs, Sabrinaland, TX 87813",male,jf251,jf251@upc.edu
Chase Ortiz,828.238.6668x47896,"66616 Madison Villages Suite 109, North Kristineshire, SC 04480",male,co592,co592@upc.edu
Rachael Martin,001-982-439-4146x57616,"38390 Alexander Bridge Apt. 910, Josephshire, AR 65631",female,rm646,rm646@upc.edu
Matthew Green,9943980896,"77575 Cynthia Hill Apt. 793, Deanbury, VA 09984",male,mg550,mg550@upc.edu
Denise Atkins,001-625-575-3046x5744,"43644 Johnson Pass Suite 380, Sheilaland, DC 46355",female,da876,da876@upc.edu
Melissa Rose,512.900.1309,"92383 Haley Ridges Suite 369, South Jennifer, OR 23626",female,mr922,mr922@upc.edu
Michael Clarke,+1-560-747-2848,"283 Garcia Highway, Larsonview, PA 90327",male,mc582,mc582@upc.edu
Timothy Johnson,+1-539-269-7694x921,"Unit 9459 Box 3742, DPO AE 02386",male,tj443,tj443@upc.edu
Sharon Alexander,(243)744-0340,"612 Melissa Ville, Port Amanda, IN 33482",female,sa560,sa560@upc.edu
Kristy Green,246-486-2543x866,"7876 Russell Vista, Bauerton, SD 84900",female,kg716,kg716@upc.edu
James Pruitt,6965146532,"78576 Miller Way, Jonesfurt, AS 68783",male,jp967,jp967@upc.edu
Nicholas Hart,001-932-741-7005x9046,"PSC 9402, Box 8015, APO AP 77245",male,nh686,nh686@upc.edu
Veronica Rose,001-592-664-8928,"07520 Anthony River, Perkinsfurt, NV 94434",female,vr446,vr446@upc.edu
Michelle Estrada,+1-897-394-8239x49937,"493 Burnett Spur, West Stephen, KS 35985",female,me637,me637@upc.edu
Kelly Hurley,(362)996-8045x7851,"8709 Richard Shoals, East Brenda, CA 00738",female,kh467,kh467@upc.edu
Jamie Garza,(914)877-6257x77619,"369 Eric Bypass, Port Robert, RI 93816",female,jg886,jg886@upc.edu
Diane Clark,351.723.3136x77986,"766 Tammy Camp, Meganchester, TN 89513",female,dc964,dc964@upc.edu
Collin Gonzalez,268-454-5616,"364 Wilson Junctions, New Kristen, MH 60166",male,cg468,cg468@upc.edu
Joshua Anderson,705.633.2738,"636 Kathryn Forest Suite 152, Port Brian, PW 85259",male,ja728,ja728@upc.edu
Carlos Fuller,+1-853-960-6377,"898 Davis Junctions Apt. 825, Lake Sandrahaven, PA 91129",male,cf540,cf540@upc.edu
Charles Walker,796-210-7336x7947,"26376 Jonathan Mills Apt. 870, Lake Austin, MI 98525",male,cw121,cw121@upc.edu
Sabrina Jones,5078722181,"5521 Lambert Causeway, Allisonport, NV 04239",female,sj598,sj598@upc.edu
Dustin Ford,642-762-8251,"792 Patricia Gardens, Laneshire, IL 03304",male,df197,df197@upc.edu
Melissa Douglas,(690)220-2549,"413 Gates Plains, East Tyler, AR 22659",female,md988,md988@upc.edu
Anthony King,442-509-1296x398,"9310 Breanna Knolls Suite 261, Whitefurt, NY 16176",male,ak394,ak394@upc.edu
Andrea Griffith,772-986-7029x0398,"USCGC Nelson, FPO AA 80933",female,ag946,ag946@upc.edu
Peter Dean,001-340-463-4957x88605,"2177 Joshua Lock, Lynchfurt, PA 19139",male,pd186,pd186@upc.edu
Stephen Hernandez,949-980-9034,"556 Jonathan Courts Apt. 766, Richardfort, PW 91866",male,sh767,sh767@upc.edu
Matthew Douglas,977-860-5918,"356 Gregory Highway Apt. 605, Davidberg, NJ 74561",male,md355,md355@upc.edu
John Hernandez,001-535-291-3343x071,"PSC 8326, Box 5159, APO AP 65717",male,jh457,jh457@upc.edu
Andrea Mason,+1-583-517-0917,"037 Armstrong Run Apt. 141, Richardchester, MI 58156",female,am112,am112@upc.edu
Lauren Coleman,(935)486-4675,"63718 Christopher Well, Williamchester, LA 87055",female,lc183,lc183@upc.edu
Leah Wilson,+1-930-548-1609,"2295 Molly Canyon Suite 809, Mariatown, TN 11988",female,lw600,lw600@upc.edu
Dylan Santos,(968)399-9989x75881,"3104 Austin Point Suite 816, Leslieport, TN 74413",male,ds733,ds733@upc.edu
Michelle Hines,(396)681-2125,"0173 Lauren Skyway Suite 835, Sullivanport, LA 72804",female,mh320,mh320@upc.edu
Kayla Mullen,(935)958-7452x2528,"42428 Campbell Road Suite 597, Lynchtown, MI 91914",female,km252,km252@upc.edu
Michael Baird,(483)294-5070,"84374 Tran Unions Suite 738, New Craigmouth, WV 19078",male,mb605,mb605@upc.edu
Courtney James,001-640-731-5848x71206,"0907 Murphy Landing Apt. 776, Mirandafort, OK 11705",female,cj174,cj174@upc.edu
Kayla Rogers,+1-393-646-6439x9410,"37435 Allen Park, Lake Michaelberg, IN 46813",female,kr742,kr742@upc.edu
Chad Harmon,(514)476-7577,"72175 Amy Hill, Isabelville, MA 86933",male,ch464,ch464@upc.edu
David Reed,5083207224,"264 Catherine Mews Suite 064, East Brendabury, PA 11511",male,dr919,dr919@upc.edu
Rodney Huffman,+1-212-369-6507x965,"PSC 6266, Box 0507, APO AP 96987",male,rh228,rh228@upc.edu
Brandon Benjamin,743-729-4793,"240 Arthur Square, Scottstad, NJ 51695",male,bb928,bb928@upc.edu
Jennifer Duffy,(662)641-4753,"15604 Schultz Islands Suite 480, Johnside, GA 61335",female,jd194,jd194@upc.edu
Michael Wilson,+1-957-385-5322,"456 Daniel Greens, Kevinburgh, IN 20483",male,mw689,mw689@upc.edu
Anna Payne,+1-560-453-8652x4696,"320 Tyler Circle, Adamsbury, KS 79928",female,ap745,ap745@upc.edu
Kendra Peterson,001-660-518-8293x1607,"1974 Richards Points Suite 054, Port Barbara, DE 11946",female,kp764,kp764@upc.edu
Michael Johnson,337-241-4005,"0826 Elizabeth Brooks, Teresaport, HI 44243",male,mj535,mj535@upc.edu
Kenneth Day,001-327-536-5377,"607 Atkinson Camp Apt. 920, Johnport, PA 98887",male,kd566,kd566@upc.edu
Daniel Farrell,001-358-926-6640x93559,"5676 Crystal Port Apt. 762, Lake Erik, MN 51705",male,df643,df643@upc.edu
Bobby Austin,+1-836-238-5999x506,"53842 Mahoney Ridge Suite 960, Villanuevamouth, MT 81187",male,ba256,ba256@upc.edu
Jessica Anderson,559-972-8422,"3693 Jacobs Groves Suite 226, Wallacechester, NY 49843",female,ja998,ja998@upc.edu
Jonathan Tate,001-409-353-2236,"08760 Clark Pass Suite 823, Martinport, OK 62357",male,jt720,jt720@upc.edu
Brenda Hill,643.576.9876x2119,"20108 Zachary Meadows, Michaelbury, WV 83646",female,bh154,bh154@upc.edu
Roy Klein,910-352-1578x770,"75518 Johnson Landing Apt. 834, West Lisashire, NV 59410",male,rk970,rk970@upc.edu
Darrell Kennedy,555.271.2226x023,"197 Walker Overpass Apt. 991, East Craigstad, IL 42809",male,dk922,dk922@upc.edu
Douglas Nielsen,494-713-6636x9718,"PSC 6984, Box 5015, APO AE 78867",male,dn404,dn404@upc.edu
Sandra Smith,241-674-6890,"3887 Ortiz Estate, East Dawnmouth, NE 17788",female,ss942,ss942@upc.edu
Joshua Thompson,(972)446-1075,"4078 Lindsey Squares, Coreymouth, UT 19467",male,jt202,jt202@upc.edu
Wayne Moore,001-849-919-8966,"2810 David Green Suite 119, Craigchester, TX 35228",male,wm248,wm248@upc.edu
Alan Wright,(436)379-9758,"PSC 0439, Box 7365, APO AE 26591",male,aw106,aw106@upc.edu
Travis Francis,(548)833-2517x6104,"5468 Rebecca Gateway Suite 310, Amystad, MN 46598",male,tf592,tf592@upc.edu
Kenneth Soto,989.867.7298x2717,"799 Nicholas Falls, New Rebecca, NY 24221",male,ks922,ks922@upc.edu
Paul Ward,001-593-885-7936x51567,"6146 Cook Wells, Schneiderborough, MT 01464",male,pw993,pw993@upc.edu
Cory Adams,642-962-9839x085,"730 Mccoy Park, East Elizabeth, SD 56603",male,ca926,ca926@upc.edu
Stephanie Beasley,338.319.0684,"8612 Thomas Cove, New Brandyview, DE 41533",female,sb383,sb383@upc.edu
Erik Roberts,(866)977-6371x32744,"459 Smith Divide Apt. 319, Jasonfort, VA 53833",male,er242,er242@upc.edu
Vicki Austin,(204)762-5071x136,"362 Kelly Trace Apt. 773, Andersonfurt, ID 45880",female,va382,va382@upc.edu
Brian Martinez,333.996.9920,"524 Gray Prairie Apt. 363, Port Michellehaven, NJ 21357",male,bm789,bm789@upc.edu
Yvette Cruz,+1-632-721-3110x756,"36198 Dylan Lodge Suite 494, Westton, MH 46329",female,yc806,yc806@upc.edu
Karen Duncan,(913)948-0978x661,"505 Dakota Ports, North Kimberlyland, WI 94825",female,kd996,kd996@upc.edu
Travis Lopez,3043601907,"0552 Michael Branch, Mannborough, NC 75922",male,tl910,tl910@upc.edu
Joe Wilson,(910)305-7319,"6752 Welch Land Suite 345, Laceymouth, MD 78465",male,jw392,jw392@upc.edu
Chad Rodriguez,001-538-277-6951x7925,"8840 Kemp Junctions Apt. 578, Colemantown, MN 20873",male,cr885,cr885@upc.edu
Melissa Miller,001-949-735-6879x269,"4848 Williams Mills, Laurafort, GU 14639",female,mm577,mm577@upc.edu
Jared Ward,711.328.1297x521,"4783 Mario Ways, East Karenborough, NY 19275",male,jw752,jw752@upc.edu
Nicholas Rodriguez,885.515.4260,"4347 Emily Parks Suite 420, Port Donna, MI 62270",male,nr823,nr823@upc.edu
Elizabeth Gray,001-774-838-6395x218,"14025 Jones Hollow, Leetown, SC 34272",female,eg463,eg463@upc.edu
Lori Fitzpatrick,835-880-4568x899,"3373 Turner Square Suite 590, West Eileenbury, FL 25321",female,lf512,lf512@upc.edu
Billy Baker,567-432-7972,"PSC 9974, Box 2353, APO AA 85369",male,bb187,bb187@upc.edu
Tina Barnes,539-784-9113,"00226 Tiffany Rue Apt. 894, Katherinechester, GA 62832",female,tb155,tb155@upc.edu
Heather Michael,658.895.2472,"27828 Patricia Dale, South Edwardberg, ME 11328",female,hm735,hm735@upc.edu
Rebecca Bradford,001-223-423-1523x67387,"953 Tucker Ferry Suite 261, Arnoldmouth, IA 71404",female,rb218,rb218@upc.edu
Jonathan Taylor,(662)573-9722x109,"PSC 4729, Box 6920, APO AE 68150",male,jt916,jt916@upc.edu
Erica Thomas,921-501-8474x77069,"2038 Rodney Loop, Carrieshire, OK 34230",female,et571,et571@upc.edu
Jessica Villanueva,(669)808-0065,"33395 Russell Springs Apt. 754, Brandifurt, SC 44388",female,jv136,jv136@upc.edu
Melissa Howard,001-788-332-8414x4512,"995 Jeffrey Highway Suite 511, New Amy, VT 51059",female,mh131,mh131@upc.edu
Scott Holland,526.460.2566,"48542 Johnson Mews Apt. 588, South Chadchester, MS 54780",male,sh164,sh164@upc.edu
Jessica Barker,303.375.5089x97585,"32358 Virginia Cliff Apt. 642, Lindafort, MN 18065",female,jb225,jb225@upc.edu
Raymond Diaz,513.797.3156,"516 Gardner Street Apt. 659, Westside, VA 09776",male,rd826,rd826@upc.edu
Gina Miranda,2168321330,"025 Dunn Plains Suite 351, Johnton, CT 53527",female,gm469,gm469@upc.edu
Christopher Jackson,804-857-9763x282,"076 Tracy Trafficway, Molinachester, NY 51929",male,cj965,cj965@upc.edu
Luke Williams,+1-615-725-0453,"Unit 3205 Box 4389, DPO AE 89296",male,lw825,lw825@upc.edu
Adriana Alvarez,001-256-510-9022x50087,"USNV Miller, FPO AE 14068",female,aa438,aa438@upc.edu
Tony Richardson,+1-203-308-6906x7294,"43613 Coleman Mountain Suite 035, Romanchester, IN 79993",male,tr279,tr279@upc.edu
Brittney Lee,(267)249-9761,"Unit 0333 Box 5093, DPO AE 19810",female,bl713,bl713@upc.edu
Meagan Wade,+1-493-927-2195x41706,"PSC 5738, Box 3248, APO AE 49020",female,mw989,mw989@upc.edu
Alexandra Thompson,850-803-5296,"22432 Kimberly Island, West Alyssaland, NV 67546",female,at598,at598@upc.edu
Eric Obrien,+1-202-871-8813,"8451 Adam Way, Port Juan, SD 64541",male,eo444,eo444@upc.edu
Melissa Castro,420-610-1264,"7267 Lutz Square, Serranochester, TX 51845",female,mc785,mc785@upc.edu
Brian Doyle,+1-905-600-1441x46571,"700 Jordan Unions, Carterview, IA 67133",male,bd353,bd353@upc.edu
Kathleen Ruiz,001-975-791-4928x60489,"18316 Moore Prairie, Kathybury, MI 55750",female,kr359,kr359@upc.edu
Marcus Turner,8954438196,"54991 Ronald Road, Kendrachester, NC 79533",male,mt337,mt337@upc.edu
George Andrews,857.912.8136x53952,"281 William Islands, Lake Tinachester, MH 22440",male,ga299,ga299@upc.edu
Bryan Stuart,+1-886-712-3999x1915,"0522 Sharon Mountain Suite 181, Mcknightport, GA 33577",male,bs184,bs184@upc.edu
Pamela Mccann,744-566-3312x026,"476 Marshall Meadows, New Erinfurt, OK 56685",female,pm242,pm242@upc.edu
Laura Shelton,249-343-8824x64680,"6109 Berg Light, Campbellfort, CT 52375",female,ls167,ls167@upc.edu
Bradley Fox,792-952-4361,"7265 Danielle Loop, East Michelle, CA 22692",male,bf962,bf962@upc.edu
Courtney Robinson,001-345-288-3094,"007 Cheryl Coves, Juliaport, FM 18238",female,cr789,cr789@upc.edu
Jonathan Turner,378-864-6545,"9578 Steven Crest Suite 639, Isabellamouth, SC 94161",male,jt764,jt764@upc.edu
Nicholas Garcia,+1-555-483-1189,"877 Shawn Cliffs, Emmabury, WV 33127",male,ng191,ng191@upc.edu
James Martinez,767-621-6328,"80641 Jordan Crossing, Moorebury, MT 27401",male,jm293,jm293@upc.edu
Angela Hamilton,(824)705-2319x688,"5848 Thomas Rest, Colinberg, GU 07972",female,ah176,ah176@upc.edu
Bradley Mcgee,+1-354-546-9865x1683,"1505 Turner Crest Suite 535, East Rachelfurt, MO 98162",male,bm626,bm626@upc.edu
Lisa Neal,829-860-7203x16304,"5689 Deborah Trail Suite 250, Rodneyburgh, CO 34709",female,ln894,ln894@upc.edu
Michael Ramirez,407-697-9424,"0489 Angelica Haven Suite 840, Leeland, PW 37344",male,mr808,mr808@upc.edu
Erin Garza,(402)289-3650,"51034 Kelsey Ferry Suite 471, Lesliestad, MS 91614",female,eg514,eg514@upc.edu
Jesse Douglas,(581)565-1775,"43109 Rebecca Mill, New Scottside, AL 12205",male,jd228,jd228@upc.edu
Ashley Garza,001-348-532-2500,"164 Whitney Course Apt. 979, North Nathanielshire, OK 87724",female,ag588,ag588@upc.edu
Taylor Pope,001-264-644-3347x208,"6850 Marshall Stream Suite 787, South Jessicaland, WA 11750",female,tp409,tp409@upc.edu
Kyle Dean,604.581.4683,"4600 Ray Via, North Chadtown, SC 04769",male,kd211,kd211@upc.edu
David Stevens,8848528779,"0576 Melissa Passage, East Stacymouth, SD 88669",male,ds960,ds960@upc.edu
Angela Thompson,853.792.3656x5845,"596 Estrada Plaza Suite 442, Port Deannafurt, LA 21251",female,at770,at770@upc.edu
Deanna Bennett,001-766-500-2850x875,"966 Jesus Ranch, Wilsonfurt, OH 52786",female,db255,db255@upc.edu
Adam Payne,6707750659,"796 Hill Path, Port Tracy, WV 93771",male,ap963,ap963@upc.edu
Edward Morgan,544-237-7725x72728,"3346 Parker Manor, Lake Cathy, MO 37343",male,em943,em943@upc.edu
Samantha Carrillo,797-672-5431x29489,"52655 Christina Springs, Michaelstad, CT 06758",female,sc252,sc252@upc.edu
Heather Williams,5267111389,"4299 Carlson Point, Byrdmouth, MH 57549",female,hw628,hw628@upc.edu
Antonio Patton,+1-548-473-5562x52762,"39390 Adams Mission, Piercefort, UT 77450",male,ap811,ap811@upc.edu
Jason Campbell,(478)330-1027x30102,"669 Mitchell Courts, East Jamesland, MN 04853",male,jc806,jc806@upc.edu
Derek Austin,001-372-371-3534,"5316 Eric Villages, North Philipstad, SD 58677",male,da631,da631@upc.edu
Christopher Macdonald,(640)965-9722x77067,"480 Samantha Drive, East Kathyshire, CA 76057",male,cm908,cm908@upc.edu
John Garcia,(270)741-2615,"0927 Joanne Crossroad, Port Suzanne, CA 57855",male,jg184,jg184@upc.edu
Samantha Lyons,854-308-9570,"60925 Jaime Valley, Garrettmouth, ID 77271",female,sl695,sl695@upc.edu
Thomas Campbell,7958318453,"6400 Trevor Centers Apt. 196, Garciafort, OK 14215",male,tc715,tc715@upc.edu
Sandra Hart,+1-298-422-0054x283,"3864 Patrick Prairie Apt. 559, Marychester, FL 77096",female,sh967,sh967@upc.edu
Thomas Olsen,599.410.7177,"288 Jennifer View, East Courtneyland, CO 06316",male,to765,to765@upc.edu
Angel Weber,820.475.1666x048,"8093 Wright Light, Smithshire, NY 10571",female,aw438,aw438@upc.edu
Justin Hamilton,001-527-296-9373,"4078 Alec Flats Apt. 209, Clarktown, NH 21265",male,jh656,jh656@upc.edu
Diana Brown,(449)656-1586,"750 Jones Court Apt. 122, Lisamouth, IN 99328",female,db803,db803@upc.edu
Amanda Schroeder,(908)594-0718x375,"Unit 2022 Box 4389, DPO AE 81168",female,as269,as269@upc.edu
Amy Mcdowell,515.703.1088x61163,"246 Duran Flats Apt. 620, Vasquezborough, NV 01372",female,am405,am405@upc.edu
Daniel Thompson,430-493-2161,"1904 Chambers Burg Suite 367, Hollystad, AL 09201",male,dt127,dt127@upc.edu
Maria Anderson,903.489.4699,"9047 Gould Lake, South Linda, NC 15107",female,ma136,ma136@upc.edu
Derrick Frost,(757)668-9415,"62425 Victoria Plains Suite 815, New Jenniferton, IA 18384",male,df618,df618@upc.edu
Elizabeth Hart,(838)668-1282x01825,"6412 Erin Estates, New Justin, GA 51081",female,eh542,eh542@upc.edu
Joel Hernandez,+1-653-399-5063x4148,"4999 Williams Lakes Apt. 486, Joneschester, NV 21075",male,jh624,jh624@upc.edu
John Mcintosh,415-299-5621x947,"718 Kimberly Corners, Ryanland, DC 97220",male,jm561,jm561@upc.edu
Roberto Stafford,307-802-0985x359,"9978 Jenkins Point Suite 105, Courtneyfort, KY 83250",male,rs973,rs973@upc.edu
Tammie Smith,(481)429-3292,"275 Collins Terrace, Knoxshire, AZ 72883",female,ts788,ts788@upc.edu
Courtney Fischer,001-583-717-8814x317,"9136 Brown Forges Suite 336, Underwoodside, IN 59667",female,cf198,cf198@upc.edu
Joshua Romero,(924)437-1067x60022,"1945 Donald Plain, Lake Jeffreytown, SD 77405",male,jr151,jr151@upc.edu
Michele Mcknight,975.597.0130,"73163 Frank Landing, East Parkermouth, IN 49857",female,mm313,mm313@upc.edu
Brian Lee,465.309.2631x89165,"963 Harrison Plains Suite 932, East Alexandermouth, AS 83618",male,bl222,bl222@upc.edu
Richard Harris,(464)903-6583,"947 Denise Terrace, North Meredithville, CO 66670",male,rh774,rh774@upc.edu
Caitlin Mccann,227.584.9909,"18381 Lee Passage Apt. 726, North Sylvia, SD 29110",female,cm927,cm927@upc.edu
Tammy Forbes,3714019928,"Unit 1718 Box 0111, DPO AE 68113",female,tf138,tf138@upc.edu
Ralph Contreras,690.495.0403x049,"USNS Knapp, FPO AA 45431",male,rc458,rc458@upc.edu
Crystal Zamora,001-810-259-0421x449,"02718 Jessica Street Apt. 366, South Colemouth, CO 33332",female,cz951,cz951@upc.edu
