name,phone,address,gender,student_id,email,year,department
Megan Tate,9804914772,"5746 Kelly Coves, Wuview, VI 20116",female,mt593,mt593@upc.edu,1,WRIT
Robert Palmer,9744470958,"68666 Jones Shores, West Ricky, OK 57099",male,rp507,rp507@upc.edu,4,CHEM
Nicholas Figueroa,9227551046,"95574 Nancy Land Suite 365, South Stevenfurt, TN 75279",male,nf552,nf552@upc.edu,4,ENGL
Jerry Leon,9271439097,"314 Steven Park Apt. 959, Loveville, WI 92600",male,jl605,jl605@upc.edu,4,COSC
Patrick Avery,9986493120,"8091 Gail Oval, Davischester, MP 80754",male,pa197,pa197@upc.edu,1,HIST
Anthony Brooks,9227585479,"9443 Brady Pine, Ronaldburgh, AR 58724",male,ab286,ab286@upc.edu,3,PHIL
Thomas Dunlap,9517226927,"9757 Brown Light, South Elizabethfort, MI 50087",male,td581,td581@upc.edu,1,THEA
Brittany Miller,9179281427,"528 Jacobs Lane, Justinland, AK 92378",female,bm883,bm883@upc.edu,4,EEGS
Phillip Ray,9928276154,"90737 Bridges Viaduct, Port Megan, CA 96419",male,pr771,pr771@upc.edu,3,HIST
Thomas Moody,9753972191,"075 Brock Fields, North Wendymouth, HI 32191",male,tm672,tm672@upc.edu,3,MATH
Karen Bryant,9306907860,"PSC 3497, Box 0968, APO AP 75943",female,kb347,kb347@upc.edu,4,GERM
Jaime Huber,9375181787,"8408 Jackson Passage, Hickschester, FL 62600",male,jh230,jh230@upc.edu,4,HIST
Teresa Larsen,9770352860,"Unit 2524 Box 0588, DPO AE 35620",female,tl524,tl524@upc.edu,4,EDUC
Paul Cordova,9177345915,"36509 Lisa Green Apt. 816, East Wesley, IL 77936",male,pc490,pc490@upc.edu,4,GERM
James Hill,9524255605,"468 Michael Mountains, Robertsstad, SC 66420",male,jh118,jh118@upc.edu,4,BIOL
Zachary Garcia,9283764286,"1533 Hardy Point, Jeffreyshire, MS 08997",male,zg682,zg682@upc.edu,4,EEGS
Ashley Chen,9088089529,"1035 Wood Trafficway, North Ambershire, VT 64872",female,ac698,ac698@upc.edu,1,SOAN
Karen Wolfe,9452147187,"168 Alyssa Groves Apt. 071, Port Adam, VA 26036",female,kw705,kw705@upc.edu,3,RELG
Kimberly Fitzgerald,9999367560,"1413 Brown Walks Apt. 904, Devinbury, IA 52331",female,kf901,kf901@upc.edu,4,COSC
Rebecca Blair,9876817614,"2641 Romero Crescent, Johnchester, PW 71369",female,rb128,rb128@upc.edu,1,GERM
John Olsen,9107067527,"135 Franklin Islands, Josephside, AZ 66025",male,jo706,jo706@upc.edu,3,CLAS
Mark Miller,9999427228,"99765 Kenneth Brooks Suite 137, Brownhaven, MP 34087",male,mm767,mm767@upc.edu,3,EEGS
Alyssa Douglas,9876419069,"4373 Chelsea Hollow, Curtisfurt, KY 70209",female,ad385,ad385@upc.edu,1,ECON
Jeffrey Vargas,9699950073,"3621 Chavez Parkway Apt. 905, Hardyton, NM 79774",male,jv555,jv555@upc.edu,4,ENGL
Kerry Thomas,9556211808,"6183 Jason Streets Suite 327, Lake Rebekahport, HI 51299",female,kt311,kt311@upc.edu,3,GERM
Patricia Wall,9797173891,"052 Carrillo Meadow, Connerborough, ME 64310",female,pw174,pw174@upc.edu,4,SOAN
James Johnson,9249562173,"8073 Kiara Stravenue, North Christinemouth, AK 05693",male,jj297,jj297@upc.edu,3,CLAS
Michael Black,9896735803,"9209 Robinson Shore, East William, KY 75123",male,mb335,mb335@upc.edu,1,MUSI
Spencer Stout,9745639950,"05783 Montgomery Points, Millerstad, MS 11228",male,ss988,ss988@upc.edu,3,POSC
Erica Ford,9023826999,"507 Jacqueline Heights Suite 312, North Sharon, SC 76133",female,ef948,ef948@upc.edu,4,HIST
Adam Perez,9622996009,"887 Cervantes Port, Port Kylie, PA 81509",male,ap575,ap575@upc.edu,1,EDUC
Kevin Pacheco,9633318119,"17959 Valerie Center Suite 181, Kaufmanchester, PR 02204",male,kp292,kp292@upc.edu,3,BIOL
Tina Mullins,9779915234,"195 Jones Park Apt. 681, West Linda, VI 20198",female,tm169,tm169@upc.edu,1,HIST
Brenda Zuniga,9682646271,"926 Francisco Avenue, Esparzaborough, OH 44747",female,bz580,bz580@upc.edu,2,ENST
Keith Parker,9563676684,"7500 Lee Streets, West Shannonstad, NM 86589",male,kp189,kp189@upc.edu,1,SOAN
Michele Lopez,9149081692,"092 Mclaughlin Cove, Port Sheenaville, NY 50338",female,ml472,ml472@upc.edu,2,SOAN
Alicia Goodwin,9996359360,"214 Riggs Common Suite 569, New Daisyside, ND 27956",female,ag600,ag600@upc.edu,4,ARTS
Paul Morris,9087682109,"3705 Jeffrey Cape, South Joshuashire, MI 48937",male,pm794,pm794@upc.edu,1,RELG
Courtney Carlson,9726882929,"63809 Michael Rapid, Whitneystad, OH 68277",female,cc654,cc654@upc.edu,1,PHAS
David Perez,9941339758,"62719 Henderson Ridges, East Douglas, MO 30050",male,dp347,dp347@upc.edu,2,SOAN
Anthony Russell,9418967872,"0681 Brett Alley, North Feliciaberg, NE 74731",male,ar453,ar453@upc.edu,4,HIST
Rebecca Sheppard,9309118380,"0279 Thomas Squares, Chaseland, WA 45909",female,rs738,rs738@upc.edu,2,RMLL
Tammy Macias,9936144566,"510 Brown Centers, Jessicamouth, RI 52606",female,tm446,tm446@upc.edu,2,RMLL
Monica Miranda,9713359310,"Unit 4128 Box 4264, DPO AP 86739",female,mm749,mm749@upc.edu,4,CLAS
Anthony Chavez,9703174129,"2184 Ellis Heights Suite 609, West Ruthland, AL 13490",male,ac584,ac584@upc.edu,2,POSC
John Garcia,9752537644,"57193 Alexis Turnpike, Sharontown, LA 62326",male,jg803,jg803@upc.edu,1,POSC
Alexis Jones,9283124278,"1913 Weaver Trafficway, Lake Lauren, FL 52429",male,aj335,aj335@upc.edu,2,BIOL
Mary Barron,9010621051,"USCGC Lee, FPO AP 87266",female,mb658,mb658@upc.edu,1,EEGS
John Clark,9996003794,"98422 Jennifer Fields Apt. 826, Adamhaven, TX 66227",male,jc263,jc263@upc.edu,2,ARTS
Michael Ferguson,9249361140,"2227 Brittany Neck, New Kenneth, FM 11455",male,mf734,mf734@upc.edu,3,RMLL
Lauren Schultz,9862221434,"301 Alexander Isle Suite 853, Lake Scott, NV 42634",female,ls484,ls484@upc.edu,3,COSC
Kristina Frey,9249251277,"USCGC Morales, FPO AP 72567",female,kf313,kf313@upc.edu,4,PBSC
Lori Ross,9126511811,"88349 Daniel Ways, East Steve, WA 70514",female,lr451,lr451@upc.edu,4,EEGS
Erin Giles,9519920682,"285 Bennett Expressway Apt. 924, Brentbury, MH 97405",female,eg718,eg718@upc.edu,3,THEA
Kelly Campbell,9794111611,"4724 Cruz Islands Suite 313, Jamesside, MS 03863",female,kc840,kc840@upc.edu,2,HIST
Ryan Reed,9278010518,"331 Curry Roads, Lake Kayla, TX 25446",male,rr324,rr324@upc.edu,3,ENGL
Brian Booth,9944111643,"488 Barbara Garden, Davisberg, VT 04078",male,bb131,bb131@upc.edu,4,THEA
Derrick Hancock,9670449240,"434 Emily Circle, Christopherland, NJ 63483",male,dh411,dh411@upc.edu,3,MELL
Shannon Moreno,9047334709,"520 Margaret Spur Apt. 331, Lake Roy, LA 06929",female,sm491,sm491@upc.edu,2,POSC
Jodi Saunders,9834564937,"77360 Franco Viaduct, Lewisport, NC 94048",female,js940,js940@upc.edu,1,ENST
Elizabeth Cochran,9185475195,"242 Ricardo Knoll, North Madison, OR 92329",female,ec564,ec564@upc.edu,3,THEA
Dennis Zavala,9242696100,"348 Cassie Cape, West Jamesville, NH 46855",male,dz619,dz619@upc.edu,3,RMLL
Mary Hall,9254574826,"78266 Shane Field, North Jasonside, TN 13573",female,mh248,mh248@upc.edu,2,ENGL
Carol Thompson,9773489215,"7946 Cassandra Row Apt. 200, Williambury, IA 82908",female,ct508,ct508@upc.edu,1,EEGS
Caitlin Coleman,9101413294,"14527 Pugh Point, Robertsburgh, WI 41921",female,cc813,cc813@upc.edu,4,CLAS
David Gray,9671683053,"867 Christy Tunnel, East Colin, NH 34682",male,dg327,dg327@upc.edu,2,BIOL
David Hernandez,9755035135,"350 Haley Wall Suite 128, East Brendabury, GA 49912",male,dh767,dh767@upc.edu,1,MATH
Sandra Macdonald,9267664183,"787 Castillo Pass, Port Douglas, VA 55516",female,sm468,sm468@upc.edu,2,HIST
Laurie Mercer,9813229470,"56592 Sherry Corner, Williamsonmouth, AL 40891",female,lm511,lm511@upc.edu,3,POSC
Kimberly Davis,9732214224,"68482 David Flat, Port Douglasport, GA 59700",female,kd574,kd574@upc.edu,3,RELG
Cameron Cardenas,9803495706,"858 Judy Stravenue, West Angelafurt, PR 80072",male,cc795,cc795@upc.edu,2,BIOL
Christina Edwards,9038163364,"704 John Flat Suite 257, Williamschester, SC 32503",female,ce648,ce648@upc.edu,1,ECON
Sharon Young,9943714825,"82815 Nelson Forges, Richardsonfurt, CA 92460",female,sy736,sy736@upc.edu,1,ECON
Phillip Moyer,9251787148,"Unit 0744 Box 8318, DPO AE 62105",male,pm835,pm835@upc.edu,1,HIST
Andrew Arias,9520582381,"354 Cassandra Parkways, Martinville, OR 74174",male,aa395,aa395@upc.edu,1,ARTS
Jonathan Wilson,9463928960,"76728 Ryan Row, Hallview, DE 37232",male,jw545,jw545@upc.edu,3,PHIL
Jaime Robinson,9268350058,"152 Kevin Villages Suite 130, Blairborough, OK 26753",male,jr743,jr743@upc.edu,3,EDUC
Shannon Hunter,9272414800,"20266 Tran Rest Apt. 738, South Tristanside, NH 41442",female,sh272,sh272@upc.edu,3,POSC
Amy Pena,9712093289,"113 Stephanie Mall, Carterland, CT 39661",female,ap823,ap823@upc.edu,4,EDUC
Thomas Morris,9199831308,"158 Miller Neck, Abigailland, FM 13566",male,tm251,tm251@upc.edu,2,PBSC
Erica Young,9728997282,"475 Farmer Union Suite 827, Lake Brandonfurt, TN 27712",female,ey301,ey301@upc.edu,2,HIST
William Hernandez,9641091102,"27045 Hurley Divide Suite 632, Loveshire, PW 36532",male,wh764,wh764@upc.edu,4,EDUC
Todd Snow,9525742461,"USNS Singh, FPO AP 36813",male,ts346,ts346@upc.edu,1,HIST
Morgan Allen,9612484437,"2645 Joseph Views, Juliamouth, WY 93593",male,ma925,ma925@upc.edu,4,EEGS
Samuel Gomez,9790802038,"0691 Williams Plaza Apt. 220, North Melanieshire, CT 20341",male,sg431,sg431@upc.edu,1,RMLL
Logan Pugh,9684185227,"9236 Ryan Streets Suite 431, Paulburgh, TX 13789",male,lp812,lp812@upc.edu,3,POSC
Laura Stewart,9577245356,"986 Valencia Lane, Wadefurt, AZ 26748",female,ls601,ls601@upc.edu,2,ENGL
Paul Sullivan,9368038769,"9101 Cooper Radial Suite 286, Christopherton, CT 71104",male,ps534,ps534@upc.edu,2,BIOL
Shelly Carlson,9649448686,"004 William Locks Apt. 661, Lake Tony, WI 79132",female,sc490,sc490@upc.edu,2,ARTS
Charles Bernard,9849097818,"85570 Jennifer Station Suite 630, Sethland, IL 48257",male,cb416,cb416@upc.edu,1,ENGL
Timothy Dixon,9131191222,"0777 Stewart Estates Suite 439, West Michael, WV 82027",male,td701,td701@upc.edu,2,ENGL
Jason Ramos,9551249975,"2219 Bray Springs Apt. 397, West Alejandrohaven, KY 40296",male,jr202,jr202@upc.edu,3,PHAS
Derrick Mitchell,9435871824,"652 Nicole Radial, Port Tracychester, FM 54648",male,dm566,dm566@upc.edu,3,BIOL
Alicia Bush,9472592269,"Unit 2719 Box 0022, DPO AE 01829",female,ab413,ab413@upc.edu,1,BIOL
Christine Robinson,9044345489,"442 Deleon Isle, North Natalieshire, CA 97516",female,cr845,cr845@upc.edu,4,HIST
Daniel Reilly,9359839413,"01717 Tiffany Causeway, Shawnland, SD 35502",male,dr441,dr441@upc.edu,2,ECON
Jennifer Whitaker,9344407371,"781 Amanda Centers, New Ryantown, AK 08478",female,jw582,jw582@upc.edu,4,ENGL
Charles James,9486378615,"82858 Burgess Trail, Port Crystal, NC 89001",male,cj627,cj627@upc.edu,2,PHAS
Zachary Ramirez,9843898438,"USCGC Ritter, FPO AP 88634",male,zr957,zr957@upc.edu,2,SOAN
Deanna Ware,9914959175,"348 Michael Extension Suite 348, West Brandon, NV 59198",female,dw292,dw292@upc.edu,4,EDUC
Colton Wise,9963273258,"33755 Brandon Forks, Garrisonshire, FL 24335",male,cw666,cw666@upc.edu,2,ENST
Ariel Castro,9685346743,"6572 Adams Village Suite 273, North Jonathan, CO 37956",male,ac641,ac641@upc.edu,2,ECON
Kristin Jones,9638687178,"620 Garcia Light Suite 813, East Tammyside, MD 42983",female,kj327,kj327@upc.edu,2,GEOG
Lisa Carpenter,9137046696,"22555 Miles Spurs, Millerfurt, IN 40491",female,lc687,lc687@upc.edu,2,PHIL
Emily Mullen,9869543090,"82656 Watts Parkways, North Allison, CA 73984",female,em588,em588@upc.edu,1,PBSC
Nathan Robinson,9036055831,"2807 Payne Centers Suite 324, Port Erinberg, MN 46137",male,nr971,nr971@upc.edu,4,MUSI
Brandon Berry,9243479128,"465 Bradley Road Suite 653, Lake Michael, MD 65708",male,bb869,bb869@upc.edu,3,ENGL
Stephen Mitchell,9933125496,"306 James Isle Suite 071, Robertport, VI 94849",male,sm439,sm439@upc.edu,2,ENGL
Gina Cochran,9169532453,"55498 Jennifer Grove, Lake Meganville, TN 04688",female,gc885,gc885@upc.edu,3,POSC
Daniel Smith,9994026649,"Unit 2248 Box 5828, DPO AP 70430",male,ds894,ds894@upc.edu,2,EEGS
Jamie Barron,9766517292,"1744 Stephanie Crescent Apt. 020, North Briannaside, SC 96412",female,jb356,jb356@upc.edu,3,ENST
Jacob Jones,9117562258,"634 Parker Branch Apt. 004, Courtneyland, NH 41510",male,jj268,jj268@upc.edu,2,CLAS
Jason Nichols,9029126000,"615 Russell Ways, Bentontown, KY 05151",male,jn821,jn821@upc.edu,2,GEOG
Daniel Randolph,9097412300,"977 Wright Ridge, Theresatown, WI 56910",male,dr129,dr129@upc.edu,4,ENGL
Vincent Taylor,9477344472,"0713 Nathan Ferry, Lake Todd, MI 57669",male,vt197,vt197@upc.edu,2,CLAS
Jonathon Ross,9277353599,"06350 James Court, Andrewville, AS 97063",male,jr135,jr135@upc.edu,2,ENST
Timothy Duran,9431730469,"9846 Nguyen Via, Moralesbury, NV 83999",male,td115,td115@upc.edu,2,MUSI
Mary Jordan,9818085896,"USNV Boyd, FPO AP 08299",female,mj250,mj250@upc.edu,4,ARTS
Jonathan Shields,9848998634,"8572 Wagner Springs, Perryland, NM 12048",male,js232,js232@upc.edu,1,ECON
Richard Forbes,9860634865,"5765 Bonnie Prairie Apt. 752, South Kimberlyside, DE 22077",male,rf661,rf661@upc.edu,3,SOAN
Katherine Brown,9519009145,"79488 Cunningham Cliff Apt. 107, Port Jennifer, OH 97206",female,kb606,kb606@upc.edu,2,HIST
Timothy Riley,9511797864,"1661 Lucas Overpass, North Adamview, GU 75617",male,tr105,tr105@upc.edu,2,ENGL
James Floyd,9412458993,"88492 Ford Spurs Suite 744, Brianhaven, KS 50633",male,jf550,jf550@upc.edu,2,MUSI
Donna Hayes,9119036356,"41527 Thomas Forks Apt. 052, East Robert, OH 10456",female,dh129,dh129@upc.edu,1,ENGL
Meghan Gonzalez,9349192251,"65161 Brown Canyon Suite 999, South Lisa, ID 07266",female,mg902,mg902@upc.edu,2,POSC
Julia Harper,9620305987,"141 Green Heights, New Ruben, FM 88513",female,jh509,jh509@upc.edu,3,HIST
Andrew Oconnor,9058423294,"34055 Evans Camp, Edwardport, MT 52787",male,ao497,ao497@upc.edu,2,EDUC
Molly Palmer,9723750184,"9754 Garcia Lakes, New Jennifer, WA 58595",female,mp776,mp776@upc.edu,1,ENGL
Diana Luna,9506084227,"94059 Lauren Unions, Lake Gabrielletown, AK 73573",female,dl777,dl777@upc.edu,3,GEOG
Andrew Mcmahon,9689273510,"609 Angie Place Suite 046, Jeremyview, VT 09044",male,am937,am937@upc.edu,4,EALL
Amy Edwards,9430725623,"76946 Peters Forks Apt. 615, Lake Chelsea, HI 28872",female,ae628,ae628@upc.edu,2,RMLL
Joshua Zhang,9057541150,"PSC 8279, Box 9101, APO AE 38957",male,jz593,jz593@upc.edu,4,MATH
Eric Wood,9451574697,"43230 Stephanie Manor, Lake Shawna, MP 83097",male,ew409,ew409@upc.edu,1,GEOG
Hunter Cunningham,9600368735,"1135 Drew Hollow Suite 192, Castrofort, IA 01590",male,hc275,hc275@upc.edu,3,EDUC
Lindsay Hunt,9644669408,"79518 Morgan Alley, Brownshire, FM 84878",female,lh217,lh217@upc.edu,4,SOAN
Trevor Tate,9053551917,"765 Lara Branch Apt. 071, North Amandatown, RI 73413",male,tt546,tt546@upc.edu,2,COSC
Rebekah Guerrero,9321301333,"169 Kelsey Fords Suite 896, Faulknermouth, MP 20742",female,rg396,rg396@upc.edu,4,THEA
Michelle Payne,9386970824,"924 Jeffrey Path, Richardfurt, LA 95526",female,mp790,mp790@upc.edu,2,RELG
Jesse Rubio,9288345108,"USS Perez, FPO AP 23265",male,jr307,jr307@upc.edu,2,MATH
Angela Flores,9082604719,"89094 Derek Inlet Suite 094, Port Karlaville, PA 48254",female,af886,af886@upc.edu,2,PHAS
Troy Anderson,9115235095,"USS Foster, FPO AE 19023",male,ta322,ta322@upc.edu,2,GEOG
Sabrina Henderson,9765440853,"94755 Meza Wall, Wendystad, OH 02895",female,sh194,sh194@upc.edu,4,ECON
Jason Monroe,9562570188,"164 Wilson Fords, North Michaelland, MH 94874",male,jm963,jm963@upc.edu,1,BIOL
Dylan James,9044824500,"20513 Lester Dam Suite 821, Brownland, ND 63113",male,dj580,dj580@upc.edu,4,RELG
Valerie Tucker,9543445576,"38685 Berger Avenue, South Victoriaberg, MS 42681",female,vt890,vt890@upc.edu,3,RMLL
Jennifer Mendoza,9501399187,"50985 Brian Course Apt. 024, Flynnton, ME 64611",female,jm312,jm312@upc.edu,4,POSC
Megan Casey,9121552246,"31576 White Circles Apt. 024, South Aprilchester, ND 70300",female,mc260,mc260@upc.edu,1,RELG
Thomas Morse,9267798922,"2355 Sarah Forks Suite 047, West Amandaview, TX 20616",male,tm546,tm546@upc.edu,2,SOAN
Eric Rogers,9383956245,"19366 Rachel Stravenue Suite 727, New Kelly, VT 58170",male,er655,er655@upc.edu,1,THEA
Lisa Schmidt,9109659042,"7497 Vincent Village, Michellechester, PR 02918",female,ls111,ls111@upc.edu,3,HIST
Katherine Morton,9740047134,"32671 Carpenter Rapids, Lake Robin, DC 22462",female,km921,km921@upc.edu,2,ENGL
Heather Fitzpatrick,9490541922,"USS Davis, FPO AE 02032",female,hf505,hf505@upc.edu,4,SOAN
William Walters,9470768606,"7825 Young Prairie, Jacobstad, NH 16818",male,ww843,ww843@upc.edu,2,ARTS
Annette Smith,9572263732,"USCGC Rush, FPO AP 46875",female,as681,as681@upc.edu,3,HIST
Justin Curtis,9670558025,"17595 Gregory Road Suite 912, West Paulberg, UT 57097",male,jc570,jc570@upc.edu,4,CHEM
Caitlin Wood,9268964113,"4124 Mike Shore Suite 311, Lisaberg, SD 78014",female,cw801,cw801@upc.edu,3,THEA
Kristin Davis,9436495790,"321 Allison Tunnel, West Jesse, VI 72169",female,kd775,kd775@upc.edu,4,POSC
Joseph Williams,9839174841,"978 Virginia Mountains Apt. 859, Lindseyshire, AR 92814",male,jw127,jw127@upc.edu,4,SOAN
Nicole Lewis,9936944926,"USCGC Anderson, FPO AE 78602",female,nl410,nl410@upc.edu,3,BIOL
Alex Gordon,9765725922,"0524 Ann Port Apt. 269, Garciafort, ID 93294",male,ag717,ag717@upc.edu,3,CLAS
Molly Rice,9951479089,"16767 Wilson Wells Suite 138, Ryanfort, NE 01083",female,mr644,mr644@upc.edu,2,EDUC
Colleen Johnson,9253099192,"31827 Ryan Trail, Nelsonbury, IL 70753",female,cj516,cj516@upc.edu,2,PHAS
Thomas Carr,9066544690,"3624 Molly Burgs, North Chadfort, VT 50456",male,tc714,tc714@upc.edu,2,ENGL
Brian Craig,9930374715,"03678 Erica Pine Suite 770, West Brittanyview, KS 27731",male,bc134,bc134@upc.edu,1,BIOL
Lori Harris,9409794138,"960 Christina Street, Markville, IN 07277",female,lh199,lh199@upc.edu,3,HIST
Carla Stark,9463425867,"023 Baker Shores Suite 187, North Donna, MH 46474",female,cs824,cs824@upc.edu,2,CLAS
Michelle Patterson,9074998800,"697 Jessica Stravenue Suite 181, Lewisburgh, MP 37847",female,mp996,mp996@upc.edu,4,ARTS
Sandra Stevens,9346206759,"97773 Glover Canyon Suite 398, Hahnstad, MA 12043",female,ss992,ss992@upc.edu,3,ENGL
Jerome Martin,9004026537,"40528 Stacey Roads, Stoutview, TX 47171",male,jm780,jm780@upc.edu,2,RMLL
Jasmine Rodgers,9894709634,"992 Eric Unions, Gomezville, TX 24715",female,jr625,jr625@upc.edu,2,ENGL
Lori Bailey,9390349479,"500 Zimmerman Falls Apt. 546, Lake Brett, CT 41309",female,lb622,lb622@upc.edu,2,PBSC
John Green,9095927351,"86102 Bell Lights, Harrisland, ME 26564",male,jg940,jg940@upc.edu,2,HIST
Timothy Johnson,9118215579,"79285 Hayes Keys Suite 327, Port Nicoleland, HI 14673",male,tj446,tj446@upc.edu,4,ARTS
Karen Flowers,9647675113,"28716 Rhonda Stravenue Suite 916, New William, LA 63340",female,kf737,kf737@upc.edu,1,ARTS
Denise Lewis,9584654291,"167 David Knoll, Nicolefurt, IN 65382",female,dl114,dl114@upc.edu,1,CHEM
Alexandra Patterson,9430891419,"USS Anderson, FPO AA 79323",female,ap979,ap979@upc.edu,4,RELG
Chris White,9227157218,"38296 Rachel Courts, New Maryshire, TN 66613",male,cw997,cw997@upc.edu,1,EDUC
Frank Barajas,9593710199,"Unit 1351 Box 3180, DPO AP 24243",male,fb567,fb567@upc.edu,3,COSC
Christian Shaw,9757126885,"86546 Craig Ports, West Joshuaport, IA 47022",male,cs833,cs833@upc.edu,4,ECON
Richard Shields,9152423434,"0942 Gregory Crossroad, Lake Charles, ME 91228",male,rs903,rs903@upc.edu,1,GEOG
Robert Allen,9527498536,"Unit 8078 Box 8386, DPO AE 84088",male,ra212,ra212@upc.edu,2,RELG
Kendra Miller,9694491918,"39380 Myers Drives Apt. 876, Lake David, LA 38393",female,km795,km795@upc.edu,4,HIST
Allison Mcdonald,9888601521,"70703 Robert Mews, Jonesport, HI 81315",female,am335,am335@upc.edu,1,EDUC
Christian Rodriguez,9952196215,"24513 Morrison Locks, North Jennifer, PR 45952",male,cr487,cr487@upc.edu,2,PHAS
Kristen Mcintosh,9268018442,"PSC 1746, Box 7758, APO AE 97698",female,km641,km641@upc.edu,1,ENST
Molly Savage,9602469041,"12443 Richard Trail, New John, AR 90043",female,ms964,ms964@upc.edu,2,EEGS
Dean Mejia,9990842644,"3543 Carlos Land Suite 997, Port James, FL 14199",male,dm623,dm623@upc.edu,2,RMLL
Donald Anderson,9987922067,"7773 Michael Curve Suite 335, Jenkinsland, AL 51433",male,da761,da761@upc.edu,4,ECON
Scott Mann,9256604969,"829 White Parks, Port Thomaston, UT 87589",male,sm760,sm760@upc.edu,2,ECON
Larry Anderson,9536613628,"370 Anita Expressway Suite 722, New Emilybury, FL 20945",male,la522,la522@upc.edu,1,EEGS
Donna Jackson,9102905787,"83905 Acosta Tunnel Suite 475, West Emilyside, KY 64125",female,dj242,dj242@upc.edu,3,SOAN
Rebecca Schwartz,9859893668,"25632 Frank Highway Apt. 399, Stephaniechester, VT 75325",female,rs420,rs420@upc.edu,2,GERM
Derek Lindsey,9844702110,"34953 Thomas Common, East John, AS 65413",male,dl254,dl254@upc.edu,3,COSC
Kaitlin Dorsey,9614994440,"0637 King Underpass, South Sarah, NC 07368",female,kd208,kd208@upc.edu,1,ECON
Nicholas Davis,9367277632,"PSC 4478, Box 9234, APO AP 34310",male,nd481,nd481@upc.edu,1,RELG
Lucas Torres,9699276542,"Unit 8243 Box 5638, DPO AP 35731",male,lt820,lt820@upc.edu,1,SOAN
Christopher Bell,9247512998,"90630 Leslie Port Suite 588, Daniellebury, AL 13705",male,cb707,cb707@upc.edu,3,EDUC
Elizabeth Fernandez,9616744815,"926 Isaac Street, North Russell, IA 32934",female,ef792,ef792@upc.edu,4,PHIL
Tracy Miller,9667276040,"PSC 7098, Box 1689, APO AP 88557",female,tm469,tm469@upc.edu,4,COSC
